the_geom,start_station_longitude,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,cartodb_id,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
,-73.98426726,293,2/1/2015 0:41,2/1/2015 0:46,326,E 11 St & 1 Ave,40.72953837,62,511,E 14 St & Avenue B,40.72938685,-73.97772429,18252,Subscriber,1990,1
,-73.96478473,829,2/1/2015 0:42,2/1/2015 0:56,290,2 Ave & E 58 St,40.76020258,63,500,Broadway & W 51 St,40.76228826,-73.98336183,19570,Subscriber,1970,1
,-73.96478473,815,2/1/2015 0:42,2/1/2015 0:56,290,2 Ave & E 58 St,40.76020258,64,500,Broadway & W 51 St,40.76228826,-73.98336183,14924,Subscriber,1972,2
,-74.00366443,504,2/1/2015 0:42,2/1/2015 0:51,434,9 Ave & W 18 St,40.74317449,65,521,8 Ave & W 31 St,40.75044999,-73.99481051,21115,Subscriber,1973,1
,-73.99404649,247,2/1/2015 0:42,2/1/2015 0:46,335,Washington Pl & Broadway,40.72903917,66,368,Carmine St & 6 Ave,40.73038599,-74.00214988,20220,Subscriber,1988,1
,-73.96024116,918,2/1/2015 0:44,2/1/2015 0:59,539,Metropolitan Ave & Bedford Ave,40.71534825,67,372,Franklin Ave & Myrtle Ave,40.694528,-73.958089,18410,Subscriber,1989,1
,-73.99704374,1278,2/1/2015 0:46,2/1/2015 1:07,345,W 13 St & 6 Ave,40.73649403,68,421,Clermont Ave & Park Ave,40.69573398,-73.97129668,20530,Subscriber,1970,1
,-73.97772429,442,2/1/2015 0:47,2/1/2015 0:55,511,E 14 St & Avenue B,40.72938685,69,410,Suffolk St & Stanton St,40.72066442,-73.98517977,18232,Subscriber,1993,1
,-73.99565293,506,2/1/2015 0:48,2/1/2015 0:56,250,Lafayette St & Jersey St,40.72456089,70,2009,Catherine St & Monroe St,40.71117444,-73.99682619,18762,Subscriber,1995,1
,-73.98789473,262,2/1/2015 0:48,2/1/2015 0:52,449,W 52 St & 9 Ave,40.76461837,71,457,Broadway & W 58 St,40.76695317,-73.98169333,19687,Subscriber,1961,1
,-73.99565293,679,2/1/2015 0:49,2/1/2015 1:00,250,Lafayette St & Jersey St,40.72456089,72,411,E 6 St & Avenue D,40.72228087,-73.97668709,15667,Subscriber,1966,1
,-73.99726235,327,2/1/2015 0:49,2/1/2015 0:55,334,W 20 St & 7 Ave,40.74238787,73,492,W 33 St & 7 Ave,40.75019995,-73.99093085,14561,Subscriber,1975,1
,-73.98808416,837,2/1/2015 0:50,2/1/2015 1:04,498,Broadway & W 32 St,40.74854862,74,504,1 Ave & E 15 St,40.73221853,-73.98165557,16301,Subscriber,1974,1
,-73.97803415,511,2/1/2015 0:50,2/1/2015 0:59,119,Park Ave & St Edwards St,40.69608941,75,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,20792,Subscriber,1982,1
,-73.98442659,489,2/1/2015 0:50,2/1/2015 0:58,173,Broadway & W 49 St,40.76064679,76,305,E 58 St & 3 Ave,40.76095756,-73.96724467,17416,Subscriber,1984,1
,-74.00263761,405,2/1/2015 0:50,2/1/2015 0:57,284,Greenwich Ave & 8 Ave,40.73901691,77,496,E 16 St & 5 Ave,40.73726186,-73.99238967,17933,Subscriber,1975,2
,-73.99915362,35251,2/1/2015 0:52,2/1/2015 10:40,453,W 22 St & 8 Ave,40.74475148,78,525,W 34 St & 11 Ave,40.75594159,-74.0021163,14691,Customer,,0
,-73.98564945,441,2/1/2015 0:52,2/1/2015 0:59,438,St Marks Pl & 1 Ave,40.72779126,79,491,E 24 St & Park Ave S,40.74096374,-73.98602213,17783,Subscriber,1984,1
